GEOID,1984,GEOID,1985,GEOID,1986,GEOID,1987,GEOID,1988,GEOID,1989,GEOID,1990,GEOID,1991,GEOID,1992,GEOID,1993,GEOID,1994,GEOID,1995,GEOID,1996,GEOID,1997,GEOID,1998,GEOID,1999,GEOID,2000,GEOID,2001,GEOID,2002,GEOID,2003,GEOID,2004,GEOID,2005,GEOID,2006,GEOID,2007,GEOID,2008,GEOID,2009,GEOID,2010,GEOID,2011,GEOID,2012,GEOID,2013
04000US01,17310,04000US01,18333,04000US01,19132,04000US01,19734,04000US01,19948,04000US01,21284,04000US01,23357,04000US01,24346,04000US01,25808,04000US01,25082,04000US01,27196,04000US01,25991,04000US01,30302,04000US01,31939,04000US01,36266,04000US01,36251,04000US01,35424,04000US01,35160,04000US01,37603,04000US01,37255,04000US01,36629,04000US01,37150,04000US01,37952,04000US01,42212,04000US01,44476,04000US01,39980,04000US01,40933,04000US01,42590,04000US01,43464,04000US01,41381
04000US02,32356,04000US02,34782,04000US02,31356,04000US02,33233,04000US02,33103,04000US02,36006,04000US02,39298,04000US02,40612,04000US02,41802,04000US02,42931,04000US02,45367,04000US02,47954,04000US02,52779,04000US02,47994,04000US02,50692,04000US02,51396,04000US02,52847,04000US02,57363,04000US02,52774,04000US02,51837,04000US02,55063,04000US02,55891,04000US02,56418,04000US02,62993,04000US02,63989,04000US02,61604,04000US02,57848,04000US02,57431,04000US02,63648,04000US02,61137
04000US04,21425,04000US04,23877,04000US04,25500,04000US04,26749,04000US04,26435,04000US04,28552,04000US04,29224,04000US04,30737,04000US04,29358,04000US04,30510,04000US04,31293,04000US04,30863,04000US04,31637,04000US04,32740,04000US04,37090,04000US04,36995,04000US04,39783,04000US04,42704,04000US04,39734,04000US04,41166,04000US04,43846,04000US04,45245,04000US04,46657,04000US04,47215,04000US04,46914,04000US04,45739,04000US04,46896,04000US04,48621,04000US04,47044,04000US04,50602
04000US05,15674,04000US05,17451,04000US05,18730,04000US05,18827,04000US05,20172,04000US05,21433,04000US05,22786,04000US05,23435,04000US05,23882,04000US05,23039,04000US05,25565,04000US05,25814,04000US05,27123,04000US05,26162,04000US05,27665,04000US05,29682,04000US05,29697,04000US05,33339,04000US05,32387,04000US05,32002,04000US05,34984,04000US05,36658,04000US05,37057,04000US05,40795,04000US05,39586,04000US05,36538,04000US05,38587,04000US05,41302,04000US05,39018,04000US05,39919
04000US06,25287,04000US06,26981,04000US06,29010,04000US06,30146,04000US06,30287,04000US06,33009,04000US06,33290,04000US06,33664,04000US06,34903,04000US06,34073,04000US06,35331,04000US06,37009,04000US06,38812,04000US06,39694,04000US06,40934,04000US06,43629,04000US06,46816,04000US06,47262,04000US06,47437,04000US06,49300,04000US06,49222,04000US06,51755,04000US06,55319,04000US06,55734,04000US06,57014,04000US06,56134,04000US06,54283,04000US06,53367,04000US06,57020,04000US06,57528
04000US08,25801,04000US08,28182,04000US08,27192,04000US08,26476,04000US08,26214,04000US08,26806,04000US08,30733,04000US08,31499,04000US08,32484,04000US08,34488,04000US08,37833,04000US08,40706,04000US08,40950,04000US08,43233,04000US08,46599,04000US08,48177,04000US08,48240,04000US08,49397,04000US08,48294,04000US08,49940,04000US08,50886,04000US08,50449,04000US08,55697,04000US08,61141,04000US08,60943,04000US08,55930,04000US08,60233,04000US08,58629,04000US08,57255,04000US08,63371
04000US09,29951,04000US09,31090,04000US09,32721,04000US09,32862,04000US09,36213,04000US09,42321,04000US09,38870,04000US09,42154,04000US09,40841,04000US09,39516,04000US09,41097,04000US09,40243,04000US09,42119,04000US09,43985,04000US09,46508,04000US09,50593,04000US09,50172,04000US09,53347,04000US09,53387,04000US09,54965,04000US09,55100,04000US09,56835,04000US09,62404,04000US09,64141,04000US09,64682,04000US09,64851,04000US09,65998,04000US09,65415,04000US09,64247,04000US09,67781
04000US10,25819,04000US10,22980,04000US10,25626,04000US10,29244,04000US10,30505,04000US10,32068,04000US10,30804,04000US10,32585,04000US10,35678,04000US10,36064,04000US10,35873,04000US10,34928,04000US10,39309,04000US10,43033,04000US10,41458,04000US10,46628,04000US10,50365,04000US10,49602,04000US10,49650,04000US10,49019,04000US10,48049,04000US10,51235,04000US10,52438,04000US10,54589,04000US10,50702,04000US10,52114,04000US10,55214,04000US10,54660,04000US10,48972,04000US10,52219
04000US12,19785,04000US12,21343,04000US12,22849,04000US12,24489,04000US12,25406,04000US12,26085,04000US12,26685,04000US12,27252,04000US12,27349,04000US12,28550,04000US12,29294,04000US12,29745,04000US12,30641,04000US12,32455,04000US12,34909,04000US12,35831,04000US12,38856,04000US12,36421,04000US12,38024,04000US12,38972,04000US12,40535,04000US12,42990,04000US12,45676,04000US12,45794,04000US12,44857,04000US12,45631,04000US12,44066,04000US12,45105,04000US12,46071,04000US12,47886
04000US13,19984,04000US13,21049,04000US13,24370,04000US13,26714,04000US13,26566,04000US13,27542,04000US13,27561,04000US13,27212,04000US13,28797,04000US13,31663,04000US13,31467,04000US13,34099,04000US13,32496,04000US13,36663,04000US13,38665,04000US13,39425,04000US13,41901,04000US13,42576,04000US13,42939,04000US13,42438,04000US13,40984,04000US13,45926,04000US13,49344,04000US13,48641,04000US13,46227,04000US13,43340,04000US13,44117,04000US13,45973,04000US13,48121,04000US13,47439
