GEOID,State
04000US01,Alabama
04000US02,Alaska
04000US04,Arizona
04000US05,Arkansas
04000US06,California
04000US08,Colorado
04000US09,Connecticut
04000US10,Delaware
04000US12,Florida
04000US13,Georgia
04000US15,Hawaii
04000US16,Idaho
04000US17,Illinois
04000US18,Indiana
04000US19,Iowa
04000US20,Kansas
04000US21,Kentucky
04000US22,Louisiana
04000US23,Maine
04000US24,Maryland
04000US25,Massachusetts
04000US26,Michigan
04000US27,Minnesota
04000US28,Mississippi
04000US29,Missouri
04000US30,Montana
04000US31,Nebraska
04000US32,Nevada
04000US33,New Hampshire
04000US34,New Jersey
04000US35,New Mexico
04000US36,New York
04000US37,North Carolina
04000US38,North Dakota
04000US39,Ohio
04000US40,Oklahoma
04000US41,Oregon
04000US42,Pennsylvania
04000US44,Rhode Island
04000US45,South Carolina
04000US46,South Dakota
04000US47,Tennessee
04000US48,Texas
04000US49,Utah
04000US50,Vermont
04000US51,Virginia
04000US53,Washington
04000US54,West Virginia
04000US55,Wisconsin
04000US56,Wyoming
